locale|ru_RU
SYSTEM_CARGO_MPU_FURN_SPECS|Скорость переработки: 25 кг/с \nЭнергопотребление: 25 МВт/осколок \nЭффективность переработки минералов: 60% \nЭффективность переработки топлива: 40% \nМасса: 3000 кг \nПроизводитель: «Rusatom-Antonoff»



SYSTEM_CARGO_MPU_BULK|УПМ «Bulker» от Titan Heavy Industries

SYSTEM_CARGO_MPU_BULK_DESC|УПМ «Bulker» от Titan Heavy Industries был представлен на рынке в середине 2200-х годов, но начал распространяться среди шахтёров Энцелада только после заключения торговых соглашений в 2260-х годах. Его простая конструкция — классический пример инженерного подхода THI «меньше значит больше». \n\nТяжёлый и неудобный для загрузки по сравнению с другими МПУ, «Булкер» уникален благодаря своей встроенной ёмкости для хранения. Внутренние компоненты дрона THI-CC размещены под зоной переработки. Несмотря на уменьшение размера бункеров, они по-прежнему способны значительно увеличить вместимость любого судна, на котором установлены.

SYSTEM_CARGO_MPU_BULK_SPECS|Грузоподъемность: 10 000 кг/минерал (всего 60 000 кг) \nСкорость переработки: 40 кг/с \nЭнергопотребление: 100 МВт/осколок \nЭффективность переработки минералов: 70% \nЭффективность переработки топлива: 20% \nМасса: 8 000 кг \nПроизводитель: Titan Heavy Industries



 
SYSTEM_CARGO_AUX_PREPROC_0x30|Rasamama RP-25

SYSTEM_CARGO_AUX_PREPROC_0x30_DESC|Rasamama Material Solutions RP-25 — это малогабаритная установка предварительной обработки руды (препроцессор), предназначенная исключительно для растопления льда с кусков минералов в грузовом отсеке судна и не более того. Установка использует линию отбора пара из турбины реактора для получения тепловой энергии и требует очень мало электроэнергии для своей работы. \n\nРабочее тело получается за счёт пропускания отходящих газов через конденсаторно-радиаторную панель, установленную на корпусе судна. Rasamama MS рекомендует проводить ежемесячные испытания потока с последующей продувкой горячим газом для предотвращения загрязнения.

SYSTEM_CARGO_AUX_PREPROC_0x30_SPECS|Скорость таяния льда: 20 кг/с \nЭффективность переработки препроцессора: 45% \nЭнергопотребление: 1250 кВт/осколок \nКоэффициент эффективности обработки минералов УПМ: x100% (без изменений) \nИзменение скорости обработки УПМ: -10 кг/с \nИзменение мощности УПМ: минимальное снижение \nМасса: 750 кг \nПроизводитель: Rasamama Material Solutions



SYSTEM_CARGO_AUX_PREPROC_20x10|Nakamura Big MT

SYSTEM_CARGO_AUX_PREPROC_20x10_DESC|Установка предварительной обработки руды (препроцессор) Big MT компании Nakamura Dynamics использует основные принципы обработки руды в своих интересах. Свободный пар в грузовом отсеке перегревается мощным тороидальным радиатором установки, что обеспечивает быстрое сублимирование льда и предварительный нагрев образующихся металлических частиц для более эффективной обработки. \n\nХотя часть технологического пара может быть использована в качестве топлива, компактный конденсатор установки часто перегружен из-за большого объёма и высоких температур. \n\nВнимание: при разработке этой установки ни один лоботомит не пострадал.

SYSTEM_CARGO_AUX_PREPROC_20x10_SPECS|Скорость таяния льда: 25 кг/с \nЭффективность переработки препроцессора: 10% \nЭнергопотребление: 125 кВт/осколок \nКоэффициент эффективности обработки минералов УПМ: x115% \nИзменение скорости обработки УПМ: 90% от номинальной \nИзменение мощности УПМ: снижение на 10% \nМасса: 2000 кг \nПроизводитель: Nakamura Dynamics



SYSTEM_CARGO_AUX_PREPROC_40x20|Rusatom-Antonoff MPP-N1

SYSTEM_CARGO_AUX_PREPROC_40x20_DESC|MPP-N1 — один из лучших препроцессоров (установка предварительной обработки руды) на рынке, обеспечивающий превосходный прирост эффективности и выхода топлива благодаря магнитогидродинамической системе. \n\nУстановка использует выхлопные газы реакторной установки в качестве источника тепла, подавая их в отсек через колбу в центре. Электромагнитные катушки, окружающие колбу, регулируют температуру посредством индукционного нагрева. \n\nТехнологический пар и микроэлементы улавливаются конденсатором с перегородками. Для обеспечения максимальной эффективности рекомендуется замена конденсаторного блока через 320 летных часов.

SYSTEM_CARGO_AUX_PREPROC_40x20_SPECS|Скорость таяния льда: 40 кг/с \nЭффективность переработки рабочей массы препроцессором: 20% \nЭнергопотребление: 375 кВт/осколок \nКоэффициент эффективности обработки минералов УПМ: x130% \nИзменение скорости обработки УПМ: 80% от номинальной скорости \nИзменение мощности УПМ: снижение на 20% \nМасса: 6500 кг \nПроизводитель: «Rusatom-Antonoff»



SYSTEM_CARGO_PREPROC_P15|Rusatom Chunk Cutter

SYSTEM_CARGO_PREPROC_P15_DESC|RCC был разработан на заре развития технологий модификации отсеков и, в отличие от большинства компаний того времени, фокусировался на способности пропускать руду через препроцессор, а не на эффективности её выхода. Используя постоянное, но тонкое покрытие из магния, подсвечиваемое лазерами зажигания препроцессора, вода искусственно вытапливается, что сокращает время прохождения куска через препроцессор. Дополнительное тепло, выделяемое при зажигании, приводит к небольшому дальнейшему плавлению, однако из-за сильного содержания примесей, образующихся в процессе, он непригоден для регенерации топлива. \n\nЗаправочные блоки из магниевого порошка доступны бесплатно на Энцеладе Прайм.

SYSTEM_CARGO_PREPROC_P15_SPECS|Коэффициент скорости переработки УПМ: 100% от скорости УПМ \nМодификатор скорости переработки вторичного УПМ: 15 кг/с \nДополнительные затраты мощности УПМ на один блок: минимальные \nЭнергопотребление: 150 кВт/осколок \nСкорость таяния льда: 5 кг/с \nМасса: 1220 кг \nПроизводитель: «Rusatom»



SYSTEM_CARGO_PREPROC_M35|MAD Heating Coils

SYSTEM_CARGO_PREPROC_M35_DESC|Этот специализированный блок переработки использует структурированное плавление кусков руды, поступающих в отсек, для создания более хрупкой структуры льда. Этот блок также оснащен вторичным блоком повышения эффективности, который крепится к самому блоку УПМ для повышения скорости обработки и скорости извлечения минералов. \n\nЭто устройство подвергается серьёзной критике со стороны компаний, использующих его в течение длительного времени, поскольку фирменные компоненты быстро выходят из строя уже через несколько месяцев использования.

SYSTEM_CARGO_PREPROC_M35_SPECS|Коэффициент скорости переработки УПМ: 135% от скорости УПМ \nМодификатор скорости переработки вторичного УПМ: 10 кг/с \nДополнительные затраты мощности УПМ на один кусок: ~38% \nСкорость таяния льда: 30 кг/с \nЭффективность переработки топлива препроцессора: 10% \nЭнергопотребление: 550 кВт/осколок \nМножитель эффективности переработки минералов УПМ: x110% \nМасса: 4780 кг \nПроизводитель: Machines Astro-Dynamiques



SYSTEM_CARGO_PREPROC_M85|MS Frakker

SYSTEM_CARGO_PREPROC_M85_DESC|Frakker от Mitsudaya-Starbus использует комбинацию высокопроизводительных катушек и чипов распознавания образов для оптимизации таяния и разрушения льда. Использование чипов ИИ с функцией распознавания образов связано с методом геологической разведки, распространённым в начале XXI века, когда был высок интерес к алгоритмам LLM для наблюдения и определения оптимального способа дробления руды с сохранением потерь минералов, превышающих потери базового блока. В результате использование этого блока сопряжено с большими энергозатратами, поскольку отслеживание каждого куска руды создаёт дополнительное потребление энергии за всё время его нахождения в зоне сканирования. \n\nВыделяемое этим блоком тепло также вызывает небольшое плавление кусков руды, однако система его переработки в рабочее тело так и не была создана.

SYSTEM_CARGO_PREPROC_M85_SPECS|Коэффициент скорости переработки УПМ: 185% от скорость УПМ \nМодификатор скорости переработки вторичного УПМ: 0 кг/с \nДополнительные затраты мощности УПМ на один кусок: ~85% \nУправляющий ИИ: Класс 1 \nЭнергопотребление: 2500 кВт/осколок \nСкорость таяния льда: 12 кг/с \nМасса: 12 550 кг \nПроизводитель: Mitsudaya-Starbus



SYSTEM_CARGO_AUX_PREPROC_MANUAL|Уменьшает массу льда на кусках на большой площади. \nПополняет запас топлива. \nМультипликативно увеличивает эффективность УПМ. \nМультипликативно снижает скорость обработки УПМ. \nОбрабатывает несколько кусков руды одновременно. \nТребования к мощности и скорости обработки указаны для одного куска. \nИзменяет скорость переработки УПМ и энергопотребление за один осколок. \nНе добывает минералы и не уничтожает осколки.

SYSTEM_CARGO_AUX_PREPROC_NOMINERAL_MANUAL|Уменьшает массу льда в кусках на большой площади. \nПополняет запас топлива. \nОбрабатывает несколько кусков руды одновременно. \nТребования к мощности и скорость обработки указаны на один кусок. \nНе добывает минералы и не уничтожает куски.




 
SYSTEM_CARGO_AUX_STORAGE_4K|Внутренний стеллаж для хранения от Conlido

SYSTEM_CARGO_AUX_STORAGE_4K_DESC|Внутренний стеллаж для хранения от Conlido RVM, испытанный и использовавшийся шахтерами пояса астероидов в начале 22-го века, представляет собой относительно простую концепцию со сложной реализацией. Этот модульный комплект для модернизации позволяет подключать существующие устройства к трубопроводам перерабатываемых материалов большинства крупных судов, доступных на рынке. \n\nДополнительные микроотсеки для расходных материалов изначально были сторонними модификациями, однако их огромная популярность побудила Conlindo внедрить их в базовую модель хотя и не очень изящно.

SYSTEM_CARGO_AUX_STORAGE_4K_SPECS|Хранилеще переработанной руды: 4000 кг / минерал (всего 24 000 кг) \nВместимость боеприпасов: 3000 кг \nВместимость дронов: 3000 кг \nЗапас топлива: 5000 кг \nМасса: 3000 кг \nПроизводитель: Conlido RVM

SYSTEM_CARGO_AUX_STORAGE_MANUAL|Для корректной работы требуется установка переработки руды (УПМ). \nПассивно увеличивает объём хранилищ на борту. \nПереработанная руда хранится в отдельных контейнерах, вместимость которых ограничена для каждого типа минерала. \nЗанимает некоторое место в грузовом отсеке. \nНе требует электроэнергии или нагрева реактора.



SYSTEM_CARGO_AUX_STORPROC_8K|Модуль резервуара для минералов THI

SYSTEM_CARGO_AUX_STORPROC_8K_DESC|Решение Titan Heavy Industries для внутреннего хранения является одновременно экспериментальным и новаторским. Благодаря использованию тепла реактора от радиаторов судна, обработанные материалы могут храниться в жидком состоянии неограниченное время, что повышает эффективность хранения до 20%. \n\nНекоторые горнодобывающие компании используют это устройство в качестве примитивного предварительного переработчика руды, поскольку относительно тонкая изоляция отводит тепло в пространство между резервуарами. THI не одобряет и не рекомендует использовать его таким образом.

SYSTEM_CARGO_AUX_STORPROC_8K_SPECS|Хранилеще переработанной руды: 8000 кг / минерал (всего 48 000 кг) \nСкорость таяния льда: 5 кг/с \nЭнергопотребление: 250 кВт/осколок (потери на нагрев) \nЭффективность переработки топлива: 10% \nИзменение скорости переработки УПМ: 110% от номинальной скорости \nИзменение энергопотребленния УПМ: увеличение на 10% \nМасса: 8000 кг \nПроизводитель: Titan Heavy Industries

SYSTEM_CARGO_AUX_STORPROC_MANUAL|Для корректной работы требуется установка переработки руды (УПМ). \nПассивно увеличивает объём хранилища на борту. \nПереработанная руда хранится в отдельных контейнерах, вместимость которых ограничена для каждого типа полезного ископаемого. \nУменьшает массу льда в кусках на небольшой площади. \nЗанимает некоторое пространство в грузовом отсеке.



SYSTEM_CARGO_AUX_STORAGE_12K|Силовой бункер MPI Roving

SYSTEM_CARGO_AUX_STORAGE_12K_DESC|Силовой бункер MPI Roving — самый большой на сегодняшний день




 
SYSTEM_AMMO_200|Обойма для снарядов

SYSTEM_AMMO_200_DESC|Комплект удлинительных направляющих для кинетического оружия, совместимый с различными калибрами. Подача боеприпасов осуществляется экономичным реечным механизмом. Порты в основаниях позволяют производить ручную и автоматическую перезарядку.

SYSTEM_AMMO_200_SPECS|Масса: 200 кг \nПодача: 100 кг/с \nПроизводитель: Rasamama Material Solutions




 
SLOT_CREW_MOD|Комплекты жилых модулей
HUD_CREW_QUALITY|Качество жилого модуля



SYSTEM_CREW_ADD_BUNK|Койка Conlido X1

SYSTEM_CREW_ADD_BUNK_DESC|Самый простой и недорогой комплект для расширения жилых помещений экипажа, доступный за деньги. Этот комплект включает в себя одну кровать смешанного типа с креплением на поверхность, выполненную из пены с эффектом памяти, с простыми текстильными чехлами и огнестойкой изоляцией. Они на удивление удобны, но отсутствие отдельных кают наверняка станет предметом споров между членами экипажа. \n\nДиспетчерская служба напоминает капитанам, что правила требуют выделение как минимум утроенной нормы пайков на каждого члена экипажа на протяжении всего запланированного времени экспедиции в кольца. Невыполнение этого требования может повлечь за собой штрафы от соответствующих регулирующих органов.

SYSTEM_CREW_ADD_BUNK_SPECS|Вместимость экипажа: +1 \nПодрыв морального духа экипажа в день: +30% (очень плохо) \nМасса: 250 кг \nВместимость на одного члена экипажа: 15 кг \nПроизводитель: Conlido RVM



SYSTEM_CREW_ADD_BUNK2|Conlido bunkX2

SYSTEM_CREW_ADD_BUNK2_DESC|Ещё одна такая же коробка! BunkX2 — это, по сути, две bunkX1, поставляемые в гораздо более эффективной конфигурации, но на этом их преимущества заканчиваются. \n\nБольшинство потенциальных кандидатов отвернулись бы, увидев одну такую ​​на судне, не говоря уже о двух. Тем не менее, они, безусловно, являются вариантом для увеличения вместимости экипажа и часто используются в больших количествах на небольших межлунных транзитных судах, где вместительность и прибыль важнее комфорта пассажиров.

SYSTEM_CREW_ADD_BUNK2_SPECS|Вместимость экипажа: +2 \nПодрыв морального духа экипажа в день: +40% (очень плохо) \nМасса: 500 кг \nМасса на одного члена экипажа: 35 кг \nПроизводитель: Conlido RVM



SYSTEM_CREW_ADD_CAPSULE|Жилые капсулы Runasimi

SYSTEM_CREW_ADD_CAPSULE_DESC|Вариант Runasimi на рынке жилых помещений для экипажа стал своего рода стандартом на рынке бюджетных гостиничных услуг. Он состоит из лёгкого герметичного блока с двумя внутренними капсульными кроватями, простым туалетом и местом для хранения вещей и провизии экипажа. Внутренний кислородный резервуар и стойки для скафандров гарантируют, что пробоины в корпусе не приведут к мгновенной потере трудоспособности экипажа в нерабочее время. \n\nСкафандры продаются отдельно. Регулярно проверяйте давление в резервуаре и проводите проверку герметичности, как указано в руководстве, не реже одного раза в неделю. Runasimi Inc. не несет ответственности за ущерб, причиненный ненадлежащим обслуживанием оборудования.

SYSTEM_CREW_ADD_CAPSULE_SPECS|Вместимость экипажа: +2 \nСнижение морального духа экипажа в день: +25% (плохо) \nМасса: 1000 кг \nМасса на одного члена экипажа: 60 ​​кг \nПроизводитель: Runasimi Inc.

SYSTEM_CREW_ADD_MANUAL|Увеличивает или уменьшает общую вместимость экипажа. \nУвеличивает или уменьшает снижение морального духа экипажа в день. \nНедовольство экипажа может привести к понжению качества работы. \nНе требует электроэнергии или нагрева реактора.



SYSTEM_CREW_MOD_HOME|Комплект mgHome от Conlido

SYSTEM_CREW_MOD_HOME_DESC|MGHome от Conlido — это простой модульный комплект, предназначенный для семейных судов и лёгких транспортных судов. Он включает в себя общую многоканальную развлекательную систему для кают экипажа, холодильник и улучшенный кухонный блок для камбуза, а также ряд дополнительных функций для туалетной комнаты, таких как многорежимная душевая лейка и унитаз с эффектом памяти. \n\nПримечание: распылитель для душа не подходит для использования в условиях невесомости. Для достижения наилучших результатов не мойте поверхности или подушки чистящими средствами на основе отбеливателя.

SYSTEM_CREW_MOD_HOME_SPECS|Снижение морального духа экипажа в день: -10% (хорошо) \nМасса: 200 кг \nМасса на одного члена экипажа: 75 кг \nПроизводитель: Conlido RVM



SYSTEM_CREW_MOD_KMX|Antonoff KMX Upfit

SYSTEM_CREW_MOD_KMX_DESC|Antonoff KMX позиционируется как система повышения комфорта при длительных перелетах, предназначенная для экипажей межлунных грузовых и пассажирских судов. \n\nБлагодаря полной системе очистки воды, ряду усовершенствований камбуза, туалета и палубы для отдыха (и модернизации для их внедрения на большинстве распространенных типов корпусов, если таковые отсутствуют), а также дышащей обивке большинства стандартных сидений, экипажи обычно считают полеты с KMX предпочтительнее, чем без него.

SYSTEM_CREW_MOD_KMX_SPECS|Вместимость экипажа: -1 \nСнижение морального духа экипажа в день: -20% (хорошо) \nМасса: 500 кг \nМасса на одного члена экипажа: 150 кг \nПроизводитель: Antonoff



SYSTEM_CREW_MOD_OCM|OCM-36 Upfit

SYSTEM_CREW_MOD_OCM_DESC|OCM-36 от Obonto Microengineering полностью обновляет обитаемые пространства корабля, добавляя современные удобства, которые покажутся очень знакомыми тем, кто посещал или жил на их станциях. Эта покупка покрывает полную стоимость работ реноваторов Obonto (или других лицензированных специалистов), включая использование системы искусственного интеллекта Nakamura Dynamics Class 2 для оптимизации с учетом изменяющейся внутренней геометрии. \n\nЕсли вам недостаточно отдельных кают экипажа с регулируемыми кроватями, независимыми системами развлечений и собственными ванными комнатами, всегда есть полноценная мини-кухня Yamato в камбузе, разнообразная и просторная зона отдыха и современный, элегантный кокпит, не говоря уже о приятной облицовке стен и низкопрофильных поручнях для навигации в невесомости.

SYSTEM_CREW_MOD_OCM_SPECS|Вместимость экипажа: -2 \nПодрыв морального духа экипажа в день: -50% (отлично) \nМасса: 700 кг \nМасса на одного члена экипажа: 200 кг \nПроизводитель: Obonto Microengineering

SYSTEM_CREW_MOD_MANUAL|Увеличивает или уменьшает снижение морального духа экипажа за день эксплуатации. \nНедовольство экипажа может привести к понжению качества работы. \nНе требует электроэнергии или нагрева реактора.





 
SYSTEM_DND_HARVTUG|Дроны-перехватчики Hard-Stop OT

SYSTEM_DND_HARVTUG_DESC|Система доставки нанодронов Obonto-Titan Hard-Stop представляет собой модификацию системы класса Harvester компании THI, предназначенную для плавной остановки объектов с высоким альбедо относительно колец. Первоначально разработанная для OCP-209 в качестве запатентованного метода предотвращения потери оборудования, после заключения коммерческих соглашений в 2260-х годах она начала поставляться на рынок.

SYSTEM_DND_HARVTUG_SPECS|Энергопотребление: 120 МВт \nЭффективная дистанция: 800 м (прямая видимость) \nСкорость запуска дронов: 100 дронов/с \nНачльная масса дрона: 0,1 кг \nТяга: 1 кН (на дрона) \nМасса: 8000 кг \nПроизводитель: Obonto Micro Engineering / Titan Heavy Industries



SYSTEM_DND_HARVHAUL|Дроны-погрузчики класса «Harvester»

SYSTEM_DND_HARVHAUL_DESC|Это чудовищное устройство представляет собой промышленную сборочную линию, маскирующуюся под сборщик одноразовых нанодронов. Его огромная инфракрасная лазерная решётка и сборочный блок подключены к отдельным низковольтным шинам, но когда они получают достаточно мощности это зрелище захватывает дух. Нанодроны направляют небольшие объекты с высоким альбедо к грузовому отсеку корабля.

SYSTEM_DND_HARVHAUL_SPECS|Энергопотребление: 120 МВт \nЭффективная дистанция: 800 м (прямая видимость) \nСкорость запуска дронов: 100 дронов/с \nНачльная масса дрона: 0,1 кг \nТяга: 1 кН (на дрона) \nМасса: 8000 кг \nПроизводитель: Titan Heavy Industries



SYSTEM_EXODYN|Грузовой контейнер THI Dyna

SYSTEM_EXODYN_DESC|Экспериментальный динамический вариант грузового контейнера THI, представленный публике в середине 2200-х годов. Для использования требуется установка переработки минералов. Приобретение грузового контейнера включает в себя аренду, покрывающую поставку новых контейнеров в течение всего срока действия лицензии владельца. \n\nDyna-Cargo — товарный знак Titan Heavy Industries. Все права защищены. n\n\Управление станции предупреждает: использование с определёнными РСУ в определённых конфигурациях может привести к перегревам микрореактора грузового контейнера. Капитаны несут всю ответственность за последствия таких инцидентов.

SYSTEM_EXODYN_SPECS|Вместимость хранилища: 72 000 кг (общая) \nЭнергопотребление (номинальное): 20 МВт \nМасса пустого аппарата: 500 кг \nПроизводитель: Titan Heavy Industries


SYSTEM_EXOBIG|Грузовой контейнер THI Jumbo

SYSTEM_EXOBIG_DESC|«Джамбо» — это модификация грузового контейнера THI, которая



SYSTEM_EXSTORAGE_ALT|Грузовой контейнер THI (альт.)

SYSTEM_EXSTORAGE_ALT_DESC|Грузовые контейнеры Titan Heavy Industries, также известные как ТНІ-СС, представляют собой полностью автономные капсулы для хранения и транспортировки переработанной руды. После отключения подвеса капсула автоматически возвращается на указанную станцию. Для использования необходима установка переработки минералов. Покупка люльки сопровождается договором, покрывающим ремонт и пополнение запаса новых капсул на всё время действия лицензии. \n\nУправление станции предупреждает: использование с определёнными РСУ в определённых конфигурациях может привести к перегревам микрореактора грузового контейнера. Капитаны несут всю ответственность за последствия таких инцидентов. \n\nЭта альтернативная версия для серии Prospector расположена в средней части судна для улучшения маневренности.

SYSTEM_EXMONO_ALT|Моногрузовой контейнер THI (альт.)

SYSTEM_EXMONO_ALT_DESC|Однорудный вариант стандартного грузового контейнера THI (THI-СС) для специализированных горных работ, сосредоточенных на сборе конкретного вида руды. Для использования требуется установка по переработке минералов. Покупка люльки сопровождается договором, покрывающим ремонт и пополнение запаса новых капсул на всё время действия лицензии. \n\nУправление станции предупреждает: использование с определёнными РСУ в определённых конфигурациях может привести к перегревам микрореактора грузового контейнера. Капитаны несут всю ответственность за последствия таких инцидентов. \n\nЭта альтернативная версия для серии Prospector расположена в средней части судна для улучшения маневренности.

SYSTEM_EXODYN_ALT|Грузовой контейнер THI Dyna (альт.)

SYSTEM_EXODYN_ALT_DESC|Экспериментальный динамический вариант грузового контейнера THI, представленный публике в середине 2200-х годов. Для использования требуется установка переработки минералов. Приобретение грузового контейнера включает в себя аренду, покрывающую поставку новых контейнеров в течение всего срока действия лицензии владельца. \n\nDyna-Cargo — товарный знак Titan Heavy Industries. Все права защищены. n\n\Управление станции предупреждает: использование с определёнными РСУ в определённых конфигурациях может привести к перегревам микрореактора грузового контейнера. Капитаны несут всю ответственность за последствия таких инцидентов. \n\nЭта альтернативная версия для серии Prospector расположена в средней части судна для улучшения маневренности.




 
SLOT_CARGOBAY_MOD|Комплекты для хранения минералов



SYSTEM_CARGO_MOD_2K|Седловые сумки SSE

SYSTEM_CARGO_MOD_2K_DESC|Базовый набор модулей расширения от Sin Space Engineering, обеспечивающий небольшое увеличение объёма грузового трюма. Отказ от ответственности: использование нелицензированного оборудования может привести к аннулированию гарантии вашего судна.

SYSTEM_CARGO_MOD_2K_SPECS|Грузоподъёмность: 2000 кг на тип руды (всего 12 000 кг) \nСовместимость: раздельная и динамическая \nМасса: 1620 кг \nПроизводитель: Sin Space Engineering


SYSTEM_CARGO_MOD_4K|Расширение трюма E-Prime

SYSTEM_CARGO_MOD_4K_DESC|Заказ на расширение обработанного трюма вашего судна, предоставленный местной верфью. Установка включает в себя гарантию возврата денег, специальное гарантийное приложение и полную проверку структурной целостности для вашего спокойствия. Летайте безопасно!

SYSTEM_CARGO_MOD_4K_SPECS|Грузоподъемность: 4000 кг на тип руды (всего 24 000 кг) \nСовместимость: раздельная и динамическая \nМасса: 3340 кг \nПроизводитель: Н/Д


SYSTEM_CARGO_MOD_6K|Контейнеры Conlido FreightReady

SYSTEM_CARGO_MOD_6K_DESC|Комплект встроенных в корпус контейнеров для минералов, в которых реализована запатентованная технология Never-Void, гарантирующая максимальное использование всего доступного пространства. Поставляется с гарантийным приложением. Этот продукт был протестирован РЕАЛЬНЫМИ шахтерами, работающими в РЕАЛЬНЫХ КОСМИЧЕСКИХ УСЛОВИЯХ! \n\nПримечание: суда, оснащенные оборудованием, выпущенным после 2237 года, не имеют права требовать компенсацию за травмы на рабочем месте, связанные с эксплуатацией / обслуживанием / установкой / демонтажом / использованием, а также визуальным / слуховым / вкусовым / обонятельным / физическим / психическим контактом с контейнерами Conlido freightReady. Ознакомьтесь с надлежащими рабочими процедурами и требованиями к ним, прежде чем приступать к работе с контейнерами Conlido freightReady.

SYSTEM_CARGO_MOD_6K_SPECS|Грузоподъемность: 6000 кг на тип руды (всего 36 000 кг) \nСовместимость: раздельная и динамическая \nМасса: 5560 кг \nПроизводитель: Conlido RVM


SYSTEM_CARGO_MOD_BOTH_MANUAL|Для правильного использования требуется УПМ. \nПассивно увеличивает объем хранилища руды.



SYSTEM_CARGO_MOD_BOLTS|Стопорные болты

SYSTEM_CARGO_MOD_BOLTS_DESC|Набор стандартных стопорных болтов для судов с трюмами с изменяемой геометрией, устанавливаемых в соответствующие точки крепления.

SYSTEM_CARGO_MOD_BOLTS_SPECS|Режим преобразования: Динамический в Раздельный \nКоэффициент преобразования: 1:1 (без сокращения) \nСокращение массы: 2650 кг

SYSTEM_CARGO_MOD_BOLTS_MANUAL|Преобразует объём хранения минеральных грузов в Раздельный. \nСекции делятся поровну на шесть частей от общей вместимости. \nНе требует электроэнергии или нагрева реактора.



SYSTEM_CARGO_MOD_AMORPH4|Conlido aMorphIV

SYSTEM_CARGO_MOD_AMORPH4_DESC|Хотя экспериментальная геометрия хранилища Cothon-217 имела ограниченный успех, компания Conlido RVM по-прежнему была увлечена этой концепцией. После заключения соглашений между производителями судов на проведение испытаний, несмотря на неудачные старты и срывы сроков, комплект для переоборудования трюма aMorphIV в конечном итоге вышел на рынок. \n\nЕго модульные компоненты могут быть модернизированы под все судовые системы, доступные в настоящее время на рынке, и основаны на тех же фундаментальных принципах, что и судно-оригинал.

SYSTEM_CARGO_MOD_AMORPH4_SPECS|Режим преобразования: Раздельный в Динамический\nКоэффициент преобразования: 2:1 (снижение на 50%)\nМасса: 1500 кг\nМасса механизма: 20 кг на тонну потерянного обрабатываемого пространства\nПроизводитель: Conlido RVM



SYSTEM_CARGO_MOD_AMORPH5|THI MD-5

